"OBJ.VEGOBJEKT-ID";"EGS.BRUKSOMRÅDE.1256";"EGS.SAKSNUMMER.1822";"EGS.S√òKNAD MOTTATT DATO.12048";"EGS.ARKIVREFERANSE, URL.12050";"EGS.VEDTAK.10670";"EGS.VEDTAKSDATO.11444";"EGS.TILLATELSE GJELDER TIL DATO.12049";"EGS.TILLEGGSINFORMASJON.11566";"EGS.EIER.7993";"EGS.VEDLIKEHOLDSANSVARLIG.8056";"EGS.GEOMETRI, PUNKT.4753";"LOK.KOMMUNE";"LOK.KOMMUNENUMMER";"VSR.VEGSYSTEMREFERANSE";"ADT_total";"√ÖDT, andel lange kj√∏ret√∏y";"Fartsgrense";"Holdningsklasse";"Funksjonsklasse";"Avkjorsler";"Trafikkulykker";"Vurdering";"Kommentar";"Kurvatur, horisontal";"Kurvatur, stigning";"ÅDT, total";"ÅDT, andel lange kjøretøy";"Avkjørsel, holdningsklasse";"Søknadstype"
1022569329;"Gardsbruk";"202515765";"18.03.2025";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=613674#";"Varig tillatelse";"06.05.2025";"06.05.2028";"";"Privat";"Privat";"";"Orkland";5059;"FV6434 S2D1 m9390";260.0;11.0;80.0;"Lite streng";"E - Lokale adkomstveger";9;0;"Vanskelig";"";109.0;-4.4;260.0;11.0;"Lite streng";"Varig tillatelse"
1019267572;"Gardsbruk";"202430330-2";"30.05.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=574220";"Varig tillatelse";"17.06.2024";"17.06.2027";"";"Privat";"Privat";"POINT(273307.936 7021131.78)";"Trondheim";5001;"FV704 S3D1 m4975";550.0;11.0;60.0;"Lite streng";"E - Lokale adkomstveger";8;1;"Vanskelig";"";-800.0;1.4;550.0;11.0;"Lite streng";"Varig tillatelse"
1024549899;"Industri";"202519130";"23.04.2025";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=617074";"Utvidet bruk";"27.06.2025";"27.06.2028";"";"Privat";"Privat";"POINT(275037.733 7029309.502)";"Trondheim";5001;"FV6700 S1D1 m2437";800.0;7.0;50.0;"Lite streng";"E - Lokale adkomstveger";16;0;"Enkel";"";646.0;-2.6;800.0;7.0;"Lite streng";"Utvidet bruk"
721931431;"Dyrkamark/jordbruk";"202432337-2";"20.06.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=576232";"Utvidet bruk";"27.06.2024";"27.06.2027";"Utvidet bruk og endring/forbedring av avkj√∏rselen.";"Privat";"Privat";"POINT(273846.477 7029724.984)";"Trondheim";5001;"FV6680 S2D1 m2267";1500.0;13.0;60.0;"Streng";"C - Lokale hovedveger";10;6;"";"";432.0;-0.3;1500.0;13.0;"Streng";"Utvidet bruk"
721931498;"Dyrkamark/jordbruk";"202408113-2    ";"29.01.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=551818";"Midlertidig tillatelse";"06.02.2024";"01.07.2026";"";"Privat";"Privat";"POINT(273819.511 7030503.291)";"Trondheim";5001;"FV6680 S2D1 m1406";1500.0;13.0;80.0;"Streng";"C - Lokale hovedveger";4;6;"";"";-716.0;4.4;1500.0;13.0;"Streng";"Midlertidig tillatelse"
721935869;"Bolig";"202400303-2";"02.01.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=543995";"Utvidet bruk";"16.01.2024";"16.01.2027";"";"Privat";"Privat";"POINT(266084.295 7030733.901)";"Trondheim";5001;"FV6682 S1D1 m1116";3300.0;8.0;60.0;"Streng";"B - Regionale hovedveger";14;4;"";"";-213.0;3.0;3300.0;8.0;"Streng";"Utvidet bruk"
1018726046;"Service";"202408113-2";"29.01.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=551818";"Midlertidig tillatelse";"06.02.2024";"01.07.2026";"";"Privat";"Privat";"POINT(273887.285 7030738.943)";"Trondheim";5001;"FV6680 S2D1 m1161";1500.0;13.0;80.0;"Streng";"C - Lokale hovedveger";4;8;"";"";196.0;1.2;1500.0;13.0;"Streng";"Midlertidig tillatelse"
721509289;"Bolig";"202413031-2";"13.03.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=556831";"Endret bruk";"26.03.2024";"26.03.2027";"";"Privat";"Privat";"POINT(273279.046 7032005.302)";"Trondheim";5001;"FV6674 S1D1 m2591";1100.0;7.0;40.0;"Mindre streng";"D - Lokale samleveger";13;2;"";"";99999.0;1.9;1100.0;7.0;"Mindre streng";"Endret bruk"
721509283;"Gardsbruk";"202337959-4";"05.04.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=510747";"Midlertidig tillatelse";"22.04.2024";"01.06.2025";"";"Privat";"Privat";"POINT(272837.919 7032013.302)";"Trondheim";5001;"FV6674 S1D1 m2131";1100.0;7.0;40.0;"Mindre streng";"D - Lokale samleveger";18;1;"";"";-173.0;-3.4;1100.0;7.0;"Mindre streng";"Midlertidig tillatelse"
721724178;"Bolig";"202450216-2";"06.11.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=594240";"Utvidet bruk";"18.11.2024";"18.11.2027";"";"Privat";"Privat";"POINT(275589.876 7033292.657)";"Trondheim";5001;"FV6678 S1D1 m5032";882.0;13.0;80.0;"Mindre streng";"D - Lokale samleveger";5;1;"";"";99999.0;2.5;882.0;13.0;"Mindre streng";"Utvidet bruk"
715957904;"Bolig";"202445856-2";"19.09.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=589807";"Endret bruk";"07.10.2024";"07.10.2027";"";"Privat";"Privat";"POINT(259399.613 7033502.979)";"Trondheim";5001;"FV707 S2D1 m3483";2200.0;15.0;60.0;"Streng";"B - Regionale hovedveger";9;3;"";"";99999.0;"";2200.0;15.0;"Streng";"Endret bruk"
1019597851;"Industri";"202435492-2";"18.07.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=579407";"Midlertidig tillatelse";"19.07.2024";"30.09.2024";"";"";"";"POINT(268275.731 7034534.352)";"Trondheim";5001;"FV6682 S1D1 m5851";2500.0;5.0;60.0;"Streng";"B - Regionale hovedveger";6;22;"";"";327.0;-2.9;2500.0;5.0;"Streng";"Midlertidig tillatelse"
1019597852;"Industri";"202435492-2";"18.07.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=579407";"Midlertidig tillatelse";"19.07.2024";"30.09.2024";"";"";"";"POINT(268265.377 7034535.422)";"Trondheim";5001;"FV6682 S1D1 m5851";2500.0;5.0;60.0;"Streng";"B - Regionale hovedveger";6;22;"";"";327.0;-2.9;2500.0;5.0;"Streng";"Midlertidig tillatelse"
721130267;"Bolig";"202453260-2 ";"13.12.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=597325";"Utvidet bruk";"02.01.2025";"02.01.2028";"";"Privat";"Privat";"POINT(254066.954 7037144.117)";"Trondheim";5001;"FV6652 S1D1 m8046";1300.0;8.0;60.0;"Lite streng";"E - Lokale adkomstveger";8;0;"Enkel";"";-1676.0;4.9;1300.0;8.0;"Lite streng";"Utvidet bruk"
